ID;Votes;Rank;Title;Runtime (min);Primary genre(s);Main cast
1;1888533;92;The Shawshank Redemption (1994);142;Drama;"Tim Robbins; Morgan Freeman; Bob Gunton"
2;1289428;92;The Godfather (1972);175;Crime, Drama;"Marlon Brando; Al Pacino; James Caan"
3;889607;90;The Godfather: Part II (1974);202;Crime, Drama;"Al Pacino; Robert De Niro; Robert Duvall"
4;1864164;90;The Dark Knight (2008);152;Action, Crime, Drama;"Christian Bale; Heath Ledger; Aaron Eckhart"
5;1477112;89;Pulp Fiction (1994);154;Crime, Drama;"John Travolta; Uma Thurman; Samuel L. Jackson"
6;1349449;89;The Lord of the Rings: The Return of the King (2003);201;Adventure, Drama, Fantasy;"Elijah Wood; Viggo Mortensen; Ian McKellen"
7;971107;89;Schindler's List (1993);195;Biography, Drama, History;"Liam Neeson; Ralph Fiennes; Ben Kingsley"
8;518449;89;12 Angry Men (1957);96;Crime, Drama;"Henry Fonda; Lee J. Cobb; Martin Balsam"
9;1513600;88;Fight Club (1999);139;Crime, Drama, Thriller;"Brad Pitt; Edward Norton; Meat Loaf"
10;1369632;88;The Lord of the Rings: The Fellowship of the Ring (2001);178;Adventure, Drama, Fantasy;"Elijah Wood; Ian McKellen; Orlando Bloom"
11;559468;88;Il buono, il brutto, il cattivo (1966);;;
12;813765;87;Goodfellas (1990);145;Biography, Crime, Drama;"Robert De Niro; Ray Liotta; Joe Pesci"
13;945421;87;Star Wars: Episode V - The Empire Strikes Back (1980);124;Action, Adventure, Fantasy;"Mark Hamill; Harrison Ford; Carrie Fisher"
14;753853;87;One Flew Over the Cuckoo's Nest (1975);133;Drama;"Jack Nicholson; Louise Fletcher; Michael Berryman"
15;1425423;87;Forrest Gump (1994);142;Drama, Romance;"Tom Hanks; Robin Wright; Gary Sinise"
16;1653028;87;Inception (2010);148;Action, Adventure, Sci-Fi;"Leonardo DiCaprio; Joseph Gordon-Levitt; Elliot Page"
17;1358510;87;The Matrix (1999);136;Action, Sci-Fi;"Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss"
18;1221456;87;The Lord of the Rings: The Two Towers (2002);179;Adventure, Drama, Fantasy;"Elijah Wood; Ian McKellen; Viggo Mortensen"
19;484883;86;La vita è bella (1997);;;
20;1151698;86;Se7en (1995);127;Crime, Drama, Mystery;"Morgan Freeman; Brad Pitt; Kevin Spacey"
21;312993;86;It's a Wonderful Life (1946);130;Drama, Family, Fantasy;"James Stewart; Donna Reed; Lionel Barrymore"
22;587775;86;Cidade de Deus (2002);;;
23;1017627;86;Star Wars (1977);121;Action, Adventure, Fantasy;"Mark Hamill; Harrison Ford; Carrie Fisher"
24;1005824;86;The Silence of the Lambs (1991);118;Crime, Drama, Horror;"Jodie Foster; Anthony Hopkins; Scott Glenn"
25;254445;86;Shichinin no samurai (1954);;;
26;825415;86;The Usual Suspects (1995);106;Crime, Drama, Mystery;"Kevin Spacey; Gabriel Byrne; Chazz Palminteri"
27;1095540;85;Gladiator (2000);155;Action, Adventure, Drama;"Russell Crowe; Joaquin Phoenix; Connie Nielsen"
28;868976;85;American History X (1998);119;Crime, Drama;"Edward Norton; Edward Furlong; Beverly D'Angelo"
29;829676;85;Back to the Future (1985);116;Adventure, Comedy, Sci-Fi;"Michael J. Fox; Christopher Lloyd; Lea Thompson"
30;824332;85;Terminator 2: Judgment Day (1991);137;Action, Adventure, Sci-Fi;"Arnold Schwarzenegger; Linda Hamilton; Edward Furlong"
31;1119789;85;Interstellar (2014);169;Adventure, Drama, Sci-Fi;"Matthew McConaughey; Anne Hathaway; Jessica Chastain"
32;819957;85;Léon (1994);110;Action, Crime, Drama;"Jean Reno; Gary Oldman; Natalie Portman"
33;165123;85;Modern Times (1936);87;Comedy, Drama, Romance;"Charles Chaplin; Paulette Goddard; Henry Bergman"
34;497723;85;Apocalypse Now (1979);147;Drama, Mystery, War;"Martin Sheen; Marlon Brando; Robert Duvall"
35;733003;85;Raiders of the Lost Ark (1981);115;Action, Adventure;"Harrison Ford; Karen Allen; Paul Freeman"
36;735442;85;The Lion King (1994);88;Animation, Adventure, Drama;"Matthew Broderick; Jeremy Irons; James Earl Jones"
37;242806;85;C'era una volta il West (1968);;;
38;517001;85;Whiplash (2014);106;Drama, Music;"Miles Teller; J.K. Simmons; Melissa Benoist"
39;355438;85;Rear Window (1954);112;Drama, Mystery, Thriller;"James Stewart; Grace Kelly; Wendell Corey"
40;894678;85;The Green Mile (1999);189;Crime, Drama, Fantasy;"Tom Hanks; Michael Clarke Duncan; David Morse"
41;567718;85;The Pianist (2002);150;Biography, Drama, Music;"Adrien Brody; Thomas Kretschmann; Frank Finlay"
42;38493;85;Coco (2017/I);;;
43;125731;85;City Lights (1931);87;Comedy, Drama, Romance;"Charles Chaplin; Virginia Cherrill; Florence Lee"
